name,ontour,playcount,listeners,genre1,genre2,genre3,sex,first_album,age (since 1st album)
Fifty Fifty,0,19895685,823244,k pop,pop,girl group,fb,2022.0,1.0
omar apollo,0,34600218,943371,rnb,soul,indie,m,2022.0,1.0
Justin Timberlake,0,101675038,3969415,pop,rnb,dance,m,2002.0,21.0
Mother Mother,1,52423785,1167006,indie,indie pop,experimental,mfb,2007.0,16.0
Harry Styles,0,267141629,2177252,pop,rock,pop rock,m,2017.0,6.0
Korn,0,187414144,3242678,nu metal,metal,alternative,mb,1994.0,29.0
Beach Bunny,0,22791000,891725,indie rock,indie pop,indie,mfb,2020.0,3.0
JVKE,0,20946394,857450,indie pop,usa,christian,m,2022.0,1.0
Green Day,0,268514990,4993269,punk rock,rock,punk,mb,1990.0,33.0
Avicii,0,79066061,2523368,house,electronic,dance,m,2013.0,10.0
Fleetwood Mac,0,153234780,3469436,classic rock,rock,70s,mfb,1968.0,55.0
TOMORROW X TOGETHER,1,232801477,728336,k pop,pop,txt,mb,2019.0,4.0
Noah Kahan,1,41014400,677931,indie,folk,acoustic,m,2019.0,4.0
Bruno Mars,0,153729758,3632142,pop,rnb,male vocalists,m,2010.0,13.0
Rihanna,0,349310641,6444151,pop,rnb,dance,f,2005.0,18.0
Red Hot Chili Peppers,1,395523003,5800493,rock,alternative rock,alternative,mb,1984.0,39.0
ICE SPICE,0,22577700,794209,rap,drill,hip hop,f,2023.0,0.0
Vance Joy,0,32205235,1655777,folk,indie,singer songwriter,m,2014.0,9.0
The Rolling Stones,0,207981746,4821010,classic rock,rock,british,mb,1964.0,59.0
Lil Tecca,0,49712200,890686,hip hop,rap,trap,m,2020.0,3.0
Usher,1,58478292,3702282,rnb,hip hop,pop,m,1994.0,29.0
Weezer,1,179277292,4122686,rock,alternative,alternative rock,mb,1994.0,29.0
5 Seconds of Summer,0,120488995,1485562,pop rock,pop punk,rock,mb,2014.0,9.0
Billie Eilish,0,313608331,2548279,pop,indie pop,electropop,f,2019.0,4.0
Vansire,0,16625052,944605,dream pop,indie pop,indie,mb,2016.0,7.0
Brenda Lee,0,9261856,1393296,oldies,60s,country,f,1959.0,64.0
Måneskin,1,53848457,1129302,rock,glam rock,italian,mfb,2018.0,5.0
Maroon 5,0,178459997,5024992,rock,pop,pop rock,mb,2002.0,21.0
Madonna,1,227942160,4215241,pop,dance,80s,f,1983.0,40.0
Flo Rida,1,47715994,3097059,hip hop,rap,southern rap,m,2008.0,15.0
Marvin Gaye,0,54355707,2760027,soul,motown,funk,m,1961.0,62.0
The Velvet Underground,0,93848528,2625254,rock,classic rock,psychedelic,mfb,1967.0,56.0
Lorde,0,239196100,2646019,pop,indie pop,electronic,f,2013.0,10.0
50 Cent,1,68549028,3676268,rap,hip hop,gangsta rap,m,2003.0,20.0
TV Girl,1,88966131,1388754,indie pop,lo fi,indie,mb,2014.0,9.0
The Alchemist,0,22828321,897015,hip hop,rap,producer,m,2004.0,19.0
